Input file,Species Code,Call,Start time,End time
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43498.84,43498.84
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43498.84,43498.84
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43498.89,43498.89
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43498.89,43498.89
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43498.89,43498.89
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43498.89,43498.89
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bp,40Hz,43498.89,43498.89
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bp,40Hz,43498.89,43498.89
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43498.89,43498.89
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43498.89,43498.89
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bp,40Hz,43498.89,43498.89
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bp,40Hz,43498.89,43498.89
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bp,40Hz,43498.89,43498.89
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43498.89,43498.89
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43498.89,43498.89
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43498.89,43498.89
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bp,40Hz,43498.89,43498.89
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43498.89,43498.89
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43498.89,43498.89
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43498.89,43498.89
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43498.89,43498.89
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43498.89,43498.89
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bp,40Hz,43498.89,43498.89
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43498.89,43498.89
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43498.89,43498.89
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43498.89,43498.89
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43498.89,43498.9
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43498.9,43498.9
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43498.9,43498.9
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43498.9,43498.9
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bp,40Hz,43498.9,43498.9
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43498.9,43498.9
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bp,40Hz,43498.91,43498.91
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bp,40Hz,43498.91,43498.91
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43498.91,43498.91
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43498.91,43498.91
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43498.91,43498.91
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43498.91,43498.91
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43498.91,43498.91
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43498.91,43498.91
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43498.91,43498.91
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43498.92,43498.92
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43498.92,43498.92
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43498.92,43498.92
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43498.92,43498.92
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43498.92,43498.92
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43498.92,43498.92
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43498.92,43498.92
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43498.92,43498.92
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43498.92,43498.92
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bp,40Hz,43498.92,43498.92
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43498.92,43498.92
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43498.92,43498.92
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43498.92,43498.92
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43498.92,43498.92
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43498.92,43498.92
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43498.92,43498.92
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43498.93,43498.93
