Selection	View	Channel	Begin Date Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call Type
3	Spectrogram 1	1	2019/2/3  6:41:39.8008	2199.800826398	2206.956076087	17.989	29.630	Antarctic
4	Spectrogram 1	1	2019/2/3  6:43:07.9003	2287.900288199	2294.310199379	18.947	28.947	Antarctic
5	Spectrogram 1	1	2019/2/3  6:44:01.7887	2341.788712422	2347.825954348	21.053	29.474	Antarctic
6	Spectrogram 1	1	2019/2/3  6:46:39.7264	2499.726392547	2506.583506832	21.053	27.895	Antarctic
7	Spectrogram 1	1	2019/2/3  6:47:52.7700	2572.770016460	2581.266875466	20.526	27.368	Antarctic
8	Spectrogram 1	1	2019/2/3  6:47:50.0868	2570.086797826	2571.428407143	36.316	68.947	40Hz
9	Spectrogram 1	1	2019/2/3  6:51:40.3228	2800.322763354	2807.328945342	17.895	29.474	Antarctic
10	Spectrogram 1	1	2019/2/3  6:52:18.1860	2838.185959627	2848.471631056	20.526	28.947	Antarctic
11	Spectrogram 1	1	2019/2/3  6:53:52.7699	2932.769866460	2939.925116149	19.474	30.000	Antarctic
12	Spectrogram 1	1	2019/2/3  6:54:05.4406	2945.440621118	2952.148667702	21.053	30.000	Antarctic
13	Spectrogram 1	1	2019/2/3  6:54:57.9874	2997.987436025	3003.875610248	21.053	28.421	Antarctic
14	Spectrogram 1	1	2019/2/3  6:56:07.0058	3067.005781988	3074.011963975	18.421	28.421	Antarctic
15	Spectrogram 1	1	2019/2/3  6:55:05.1427	3005.142685714	3006.633362733	38.421	71.579	D
16	Spectrogram 1	1	2019/2/3  6:55:48.2978	3048.297785404	3057.390915217	18.947	31.579	Antarctic
17	Spectrogram 1	1	2019/2/3  6:56:02.7574	3062.757352484	3064.098961801	31.053	58.947	40Hz
18	Spectrogram 1	1	2019/2/3  6:56:51.5775	3111.577474845	3121.192341615	14.458	29.518	Antarctic
19	Spectrogram 1	1	2019/2/3  7:00:23.5526	3323.552646894	3330.558828882	20.482	29.518	Antarctic
20	Spectrogram 1	1	2019/2/3  7:09:08.7204	3848.720410559	3856.024727950	18.675	28.916	Antarctic
21	Spectrogram 1	1	2019/2/3  7:12:44.5713	4064.571342857	4076.422225155	18.072	29.518	Antarctic
22	Spectrogram 1	1	2019/2/3  7:14:26.2360	4166.235965528	4168.024777950	35.542	63.253	D
23	Spectrogram 1	1	2019/2/3  7:15:26.9065	4226.906520186	4229.515204969	44.578	84.940	D
24	Spectrogram 1	1	2019/2/3  7:15:30.4841	4230.484145031	4234.136303727	39.759	86.145	D
25	Spectrogram 1	1	2019/2/3  7:15:36.6705	4236.670454658	4239.651808696	40.361	84.940	D
26	Spectrogram 1	1	2019/2/3  7:23:25.6397	4705.639694720	4708.173845652	32.530	69.880	D
27	Spectrogram 1	1	2019/2/3  7:23:39.8011	4719.801126398	4723.080615839	44.578	85.542	D
28	Spectrogram 1	1	2019/2/3  7:24:15.0556	4755.055637888	4758.409661180	26.506	70.482	D
29	Spectrogram 1	1	2019/2/3  7:24:54.5586	4794.558578882	4800.074083851	18.072	30.723	Antarctic
30	Spectrogram 1	1	2019/2/3  7:25:19.9005	4819.900538199	4822.881892236	24.096	70.482	D
31	Spectrogram 1	1	2019/2/3  7:26:05.5153	4865.515254969	4876.397197205	18.072	30.723	Antarctic
32	Spectrogram 1	1	2019/2/3  7:26:23.5524	4883.552446894	4886.161131677	21.687	66.867	D
33	Spectrogram 1	1	2019/2/3  7:26:42.2604	4902.260443478	4904.869128261	37.349	66.265	D
34	Spectrogram 1	1	2019/2/3  7:26:46.8070	4906.807008385	4909.639294720	32.530	68.675	D
35	Spectrogram 1	1	2019/2/3  7:26:55.9747	4915.974672050	4918.359755280	41.566	75.904	D
36	Spectrogram 1	1	2019/2/3  7:27:34.3601	4954.360055280	4963.378651242	16.867	28.916	Antarctic
37	Spectrogram 1	1	2019/2/3  7:27:49.7140	4969.714028571	4979.627030745	19.277	27.711	Antarctic
38	Spectrogram 1	1	2019/2/3  7:36:51.4283	5511.428307143	5517.987286025	18.675	30.120	Antarctic
39	Spectrogram 1	1	2019/2/3  7:37:55.0807	5575.080665839	5581.117907764	13.855	31.325	Antarctic
40	Spectrogram 1	1	2019/2/3  7:38:45.7637	5625.763684472	5627.328895342	16.265	38.554	20Hz
41	Spectrogram 1	1	2019/2/3  7:39:08.4220	5648.421975155	5650.285321429	18.675	39.157	20Hz
42	Spectrogram 1	1	2019/2/3  7:38:14.3104	5594.310399379	5607.279289441	15.663	31.325	Antarctic
43	Spectrogram 1	1	2019/2/3  7:41:07.2294	5767.229383540	5776.098911801	16.867	30.723	Antarctic
44	Spectrogram 1	1	2019/2/3  7:42:02.0122	5822.012213975	5829.912802174	18.072	31.325	Antarctic
45	Spectrogram 1	1	2019/2/3  7:48:33.1677	6213.167663665	6222.857064286	17.470	30.120	Antarctic
46	Spectrogram 1	1	2019/2/3  7:49:31.9003	6271.900338199	6279.353723292	18.675	30.120	Antarctic
47	Spectrogram 1	1	2019/2/3  7:50:37.6396	6337.639644720	6340.173795652	31.928	76.506	D
48	Spectrogram 1	1	2019/2/3  7:51:13.5650	6373.564960870	6382.807158385	13.855	29.518	Antarctic
49	Spectrogram 1	1	2019/2/3  7:51:23.7761	6383.776098447	6391.378551242	19.277	30.723	Antarctic
50	Spectrogram 1	1	2019/2/3  7:52:23.9254	6443.925366149	6453.614766770	18.072	29.518	Antarctic
51	Spectrogram 1	1	2019/2/3  7:52:37.2669	6457.266925466	6470.161281677	17.470	30.120	Antarctic
52	Spectrogram 1	1	2019/2/3  7:52:33.0185	6453.018495963	6454.807308385	34.337	66.265	D
53	Spectrogram 1	1	2019/2/3  7:53:07.6022	6487.602202795	6500.496559006	15.663	30.120	Antarctic
54	Spectrogram 1	1	2019/2/3  7:53:59.2546	6539.254611491	6545.142785714	19.880	32.530	Antarctic
55	Spectrogram 1	1	2019/2/3  7:55:58.8819	6658.881892236	6661.192441615	42.169	89.157	D
56	Spectrogram 1	1	2019/2/3  7:56:03.4285	6663.428457143	6665.142735714	53.012	83.133	D
57	Spectrogram 1	1	2019/2/3  7:56:09.6893	6669.689300621	6672.968790062	45.181	84.940	D
58	Spectrogram 1	1	2019/2/3  7:56:13.4160	6673.415993168	6678.037091925	46.386	89.157	D
59	Spectrogram 1	1	2019/2/3  7:57:49.4906	6769.490577019	6772.099261801	49.398	76.506	D
60	Spectrogram 1	1	2019/2/3  7:57:53.6645	6773.664472671	6775.527818944	48.193	75.301	D
61	Spectrogram 1	1	2019/2/3  7:57:57.9129	6777.912902174	6780.894256211	51.807	79.518	D
62	Spectrogram 1	1	2019/2/3  7:58:01.8632	6781.863196273	6784.770016460	47.590	76.506	D
63	Spectrogram 1	1	2019/2/3  7:58:29.0681	6809.068051863	6817.937580124	19.277	30.120	Antarctic
64	Spectrogram 1	1	2019/2/3  7:59:53.1549	6893.154949689	6900.235665528	19.880	31.325	Antarctic
65	Spectrogram 1	1	2019/2/3  8:00:16.8567	6916.856714286	6920.061669876	27.711	74.699	D
66	Spectrogram 1	1	2019/2/3  7:59:20.6582	6860.658190683	6862.894206211	31.325	86.747	D
67	Spectrogram 1	1	2019/2/3  7:59:14.2483	6854.248279503	6857.676836646	28.313	71.084	D
68	Spectrogram 1	1	2019/2/3  7:59:02.0993	6842.099261801	6844.707946584	16.867	69.880	D
69	Spectrogram 1	1	2019/2/3  7:58:51.5155	6831.515454969	6834.198673602	39.157	80.723	D
70	Spectrogram 1	1	2019/2/3  7:58:57.7018	6837.701764596	6840.161381677	37.952	78.916	D
71	Spectrogram 1	1	2019/2/3  8:01:03.8880	6963.888024224	6973.726492547	16.867	31.325	Antarctic
72	Spectrogram 1	1	2019/2/3  8:02:46.3725	7066.372519255	7075.242047516	16.867	30.120	Antarctic
73	Spectrogram 1	1	2019/2/3  8:03:45.7015	7125.701464596	7131.291503416	15.060	30.723	Antarctic
74	Spectrogram 1	1	2019/2/3  8:04:28.6335	7168.633462733	7170.571342857	45.783	81.325	D
75	Spectrogram 1	1	2019/2/3  8:05:19.2419	7219.241947516	7221.477963043	47.590	78.916	D
76	Spectrogram 1	1	2019/2/3  8:07:01.8755	7321.875510248	7332.608384783	18.072	31.325	Antarctic
77	Spectrogram 1	1	2019/2/3  8:09:28.2604	7468.260443478	7479.589588820	19.880	30.120	Antarctic
78	Spectrogram 1	1	2019/2/3  8:20:18.3474	8118.347391304	8127.216919565	19.880	30.120	Antarctic
79	Spectrogram 1	1	2019/2/3  8:21:49.9499	8209.949944099	8217.626930745	19.880	29.518	Antarctic
80	Spectrogram 1	1	2019/2/3  8:23:02.1737	8282.173695652	8289.627080745	20.482	31.325	Antarctic
81	Spectrogram 1	1	2019/2/3  8:24:13.4285	8353.428507143	8365.055787888	19.277	31.325	Antarctic
82	Spectrogram 1	1	2019/2/3  8:24:45.5526	8385.552596894	8389.726492547	19.277	31.928	Antarctic
83	Spectrogram 1	1	2019/2/3  8:24:49.3538	8389.353823292	8391.440771118	40.361	81.325	D
84	Spectrogram 1	1	2019/2/3  8:24:57.7016	8397.701614596	8400.310299379	50.602	99.398	D
85	Spectrogram 1	1	2019/2/3  8:25:44.2853	8444.285271429	8447.713828571	39.157	89.759	D
86	Spectrogram 1	1	2019/2/3  8:25:46.8940	8446.893956211	8449.800776398	35.542	87.952	D
87	Spectrogram 1	1	2019/2/3  8:27:24.6828	8544.682818634	8548.633112733	31.928	81.928	D
88	Spectrogram 1	1	2019/2/3  8:27:27.4406	8547.440571118	8550.794594410	33.133	78.916	D
89	Spectrogram 1	1	2019/2/3  8:27:22.7328	8542.732824534	8544.447103106	18.072	32.530	20Hz
90	Spectrogram 1	1	2019/2/3  8:28:00.9998	8579.999750000	8583.875510248	37.952	93.976	D
91	Spectrogram 1	1	2019/2/3  8:28:02.7575	8582.757502484	8585.887924224	39.759	86.145	D
92	Spectrogram 1	1	2019/2/3  8:28:42.0368	8622.036841925	8630.682768634	19.880	28.313	Antarctic
93	Spectrogram 1	1	2019/2/3  8:30:51.4285	8751.428507143	8760.447103106	19.277	28.916	Antarctic
94	Spectrogram 1	1	2019/2/3  8:31:56.1239	8816.123889752	8824.918884161	21.084	30.120	Antarctic
95	Spectrogram 1	1	2019/2/3  8:32:56.0931	8876.093079814	8886.378751242	21.084	29.518	Antarctic
96	Spectrogram 1	1	2019/2/3  8:33:20.6147	8900.614716770	8909.782380435	9.639	28.916	Antarctic
97	Spectrogram 1	1	2019/2/3  8:33:47.9686	8927.968640062	8938.552446894	19.880	28.916	Antarctic
98	Spectrogram 1	1	2019/2/3  8:34:20.9871	8960.987136025	8973.061619876	19.277	29.518	Antarctic
99	Spectrogram 1	1	2019/2/3  8:34:41.1117	8981.111725776	8988.416043168	18.072	28.916	Antarctic
100	Spectrogram 1	1	2019/2/3  8:35:49.2357	9049.235665528	9056.316381366	20.482	30.723	Antarctic
101	Spectrogram 1	1	2019/2/3  8:37:07.7948	9127.794794410	9137.558728882	18.675	28.313	Antarctic
