Selection	View	Channel	Begin Date Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call Type	Match
1	Spectrogram 1	3	2019/2/6  0:23:50.8758	231.875773641	235.006207880	39.7	88.7	D	Match
2	Spectrogram 1	3	2019/2/6  0:24:32.2422	273.242226087	276.670796920	42.2	84.3	D	
3	Spectrogram 1	3	2019/2/6  0:24:47.1491	288.149055797	291.428558333	39.2	73.0	D	Match
4	Spectrogram 1	3	2019/2/6  0:25:05.1118	306.111785598	308.049673460	38.7	67.2	D	Match
5	Spectrogram 1	3	2019/2/6  0:25:26.5776	327.577620380	330.186315580	49.0	75.0	D	Match
6	Spectrogram 1	3	2019/2/6  0:27:32.4658	453.465834783	455.478256793	43.1	74.5	D	Match
7	Spectrogram 1	3	2019/2/6  0:29:19.9441	560.944095743	563.478256793	51.5	85.3	D	
8	Spectrogram 1	3	2019/2/6  0:30:28.4410	629.440978261	633.391288134	35.8	82.4	D	Match
9	Spectrogram 1	3	2019/2/6  0:34:56.6894	897.689435145	906.260862228	21.1	30.4	Antarctic	Match
10	Spectrogram 1	3	2019/2/6  0:35:17.4099	918.409928442	920.720487047	36.8	86.3	D	Match
11	Spectrogram 1	3	2019/2/6  0:36:55.6460	1016.645954982	1019.403718478	37.3	66.2	D	
12	Spectrogram 1	3	2019/2/6  0:43:13.2671	1393.267063859	1400.496876268	20.1	29.4	Antarctic	
13	Spectrogram 1	3	2019/2/6  0:52:58.0621	1978.062105888	1981.192540127	43.1	79.9	D	
14	Spectrogram 1	3	2019/2/6  0:54:48.0745	2088.074527899	2095.826079348	17.6	28.4	Antarctic	
15	Spectrogram 1	3	2019/2/6  1:21:03.6397	3664.639747101	3671.422354620	19.6	28.4	Antarctic	Match
16	Spectrogram 1	3	2019/2/6  1:22:04.9068	3725.906817210	3731.571412500	20.1	27.9	Antarctic	Match
17	Spectrogram 1	3	2019/2/6  1:22:58.5714	3779.571422917	3794.627320924	20.6	28.4	Antarctic	Match
18	Spectrogram 1	3	2019/2/6  1:24:09.6025	3850.602466486	3864.242215670	20.1	29.4	Antarctic	Match
19	Spectrogram 1	3	2019/2/6  1:25:15.7888	3916.788809149	3924.540360598	20.6	29.4	Antarctic	Match
20	Spectrogram 1	3	2019/2/6  1:26:27.4161	3988.416144656	3995.347820471	20.1	30.4	Antarctic	
21	Spectrogram 1	3	2019/2/6  1:34:05.5776	4446.577630797	4452.540362681	21.6	27.9	Antarctic	
22	Spectrogram 1	3	2019/2/6  1:35:11.9876	4512.987575906	4521.111798098	21.1	28.4	Antarctic	Match
23	Spectrogram 1	3	2019/2/6  1:40:15.8199	4815.819858967	4823.198739674	18.1	28.9	Antarctic	Match
24	Spectrogram 1	3	2019/2/6  1:39:40.5342	4781.534150634	4788.763963043	19.1	29.9	Antarctic	
25	Spectrogram 1	3	2019/2/6  1:39:06.0248	4747.024839855	4756.341608424	20.1	30.4	Antarctic	
26	Spectrogram 1	3	2019/2/6  1:40:50.4783	4850.478256793	4857.335398460	22.1	29.9	Antarctic	
27	Spectrogram 1	3	2019/2/6  1:41:19.4720	4879.472040580	4888.118001812	18.6	28.4	Antarctic	Match
28	Spectrogram 1	3	2019/2/6  1:42:18.2049	4938.204949638	4945.807432790	20.6	27.9	Antarctic	Match
29	Spectrogram 1	3	2019/2/6  1:43:17.0124	4997.012411594	5002.677006884	16.7	28.9	Antarctic	Match
30	Spectrogram 1	3	2019/2/6  1:44:10.3789	5050.378880707	5057.385090670	21.6	27.5	Antarctic	
31	Spectrogram 1	3	2019/2/6  1:45:03.5963	5103.596262772	5110.378870290	19.6	29.9	Antarctic	
32	Spectrogram 1	3	2019/2/6  1:45:25.9565	5125.956507337	5133.111785598	22.1	30.4	Antarctic	
33	Spectrogram 1	3	2019/2/6  2:02:40.8633	6160.863347464	6174.279494203	20.1	28.4	Antarctic	Match
34	Spectrogram 1	3	2019/2/6  2:03:49.6584	6229.658366576	6237.708054620	20.6	28.9	Antarctic	Match
35	Spectrogram 1	3	2019/2/6  2:04:58.4534	6298.453404438	6307.621104710	19.6	27.9	Antarctic	Match
36	Spectrogram 1	3	2019/2/6  2:18:24.5404	7104.540371014	7106.627327174	38.7	70.1	D	
