"","Call","Channel","SBtime","SB_whaletime","SB_harptime","match_harptime","SB_whale_Dist_m","harp_whale_Dist_m"
"1","Antarctic",1,2019-02-03 04:07:06,2019-02-03 04:06:55,2019-02-03 04:07:01,2019-02-03 04:07:04,15136.890702389,8491.99574141173
"2","Antarctic",1,2019-02-03 04:08:19,2019-02-03 04:08:11,2019-02-03 04:08:19,2019-02-03 04:08:20,11586.381704566,10650.9741994787
"3","Antarctic",1,2019-02-03 04:28:29,2019-02-03 04:28:19,2019-02-03 04:28:25,2019-02-03 04:28:27,14363.4958023403,8241.46382486624
"4","Antarctic",3,2019-02-03 04:29:47,2019-02-03 04:29:31,2019-02-03 04:29:39,2019-02-03 04:29:36,23873.1489094813,11848.1532761906
"5","20Hz",1,2019-02-03 05:30:31,2019-02-03 05:30:19,2019-02-03 05:30:37,2019-02-03 05:30:35,17089.1367402876,25713.5297224421
"6","Antarctic",1,2019-02-03 05:58:12,2019-02-03 05:58:00,2019-02-03 05:58:05,2019-02-03 05:58:14,16728.8864594405,7485.73821204475
"7","20Hz",3,2019-02-03 06:35:58,2019-02-03 06:35:57,2019-02-03 06:36:11,2019-02-03 06:36:12,677.557074220884,19344.2682648197
"8","20Hz",2,2019-02-03 06:36:20,2019-02-03 06:36:16,2019-02-03 06:36:34,2019-02-03 06:36:39,6159.18306738365,25389.1900712036
"9","Antarctic",3,2019-02-03 08:21:54,2019-02-03 08:21:47,2019-02-03 08:22:02,2019-02-03 08:22:06,10762.2282216586,21599.2151528855
"10","Antarctic",3,2019-02-03 08:31:59,2019-02-03 08:31:57,2019-02-03 08:32:13,2019-02-03 08:32:12,3093.65190595772,23723.8946316421
"11","Antarctic",3,2019-02-03 08:47:20,2019-02-03 08:47:17,2019-02-03 08:47:34,2019-02-03 08:47:30,3778.69616761476,23973.0547572863
"12","Antarctic",3,2019-02-03 08:59:10,2019-02-03 08:59:09,2019-02-03 08:59:26,2019-02-03 08:59:17,1110.29572824515,23607.0313433032
"13","D",3,2019-02-03 09:01:11,2019-02-03 09:01:10,2019-02-03 09:01:27,2019-02-03 09:01:37,1057.96440995165,23780.3995996852
"14","D",1,2019-02-03 10:32:58,2019-02-03 10:32:51,2019-02-03 10:33:08,2019-02-03 10:33:04,11007.6645391573,25282.8209576876
"15","Antarctic",2,2019-02-03 10:57:56,2019-02-03 10:57:51,2019-02-03 10:58:06,2019-02-03 10:58:07,6907.64425331433,21692.3386838018
"16","D",3,2019-02-04 02:49:56,2019-02-04 02:49:53,2019-02-04 02:50:03,2019-02-04 02:50:11,5040.43294200486,14892.5975467412
"17","D",3,2019-02-04 02:50:02,2019-02-04 02:49:59,2019-02-04 02:50:09,2019-02-04 02:50:11,5308.55746228423,14473.5414283379
"18","D",1,2019-02-04 02:50:06,2019-02-04 02:49:58,2019-02-04 02:50:08,2019-02-04 02:50:11,11798.8724445389,14715.4258745331
"19","Antarctic",2,2019-02-04 04:02:34,2019-02-04 04:02:29,2019-02-04 04:02:39,2019-02-04 04:02:46,7733.48521896801,14299.6923893225
"20","Antarctic",3,2019-02-04 07:16:06,2019-02-04 07:16:01,2019-02-04 07:16:10,2019-02-04 07:16:15,6711.41950651285,13376.4094647882
"21","Antarctic",2,2019-02-04 07:25:08,2019-02-04 07:25:00,2019-02-04 07:25:04,2019-02-04 07:25:09,12047.3871405604,6192.24177558468
"22","D",2,2019-02-04 07:57:44,2019-02-04 07:57:33,2019-02-04 07:57:43,2019-02-04 07:57:46,14715.7000964583,14179.264151601
"23","D",3,2019-02-04 07:58:07,2019-02-04 07:58:02,2019-02-04 07:58:11,2019-02-04 07:58:13,7427.27965150629,13973.7946496439
"24","D",1,2019-02-04 17:25:19,2019-02-04 17:25:19,2019-02-04 17:25:28,2019-02-04 17:25:25,26.3199652758205,13375.7861896252
"25","Antarctic",2,2019-02-04 18:22:45,2019-02-04 18:22:32,2019-02-04 18:22:47,2019-02-04 18:22:45,19436.2044508743,21155.6928782778
"26","D",3,2019-02-04 18:43:43,2019-02-04 18:43:34,2019-02-04 18:43:49,2019-02-04 18:43:40,12991.8877900874,21830.9210214094
"27","D",1,2019-02-04 19:01:56,2019-02-04 19:01:46,2019-02-04 19:02:03,2019-02-04 19:02:10,15129.7627886988,25308.5287683794
"28","D",3,2019-02-04 19:49:30,2019-02-04 19:49:26,2019-02-04 19:49:37,2019-02-04 19:49:31,6580.68853172194,15861.4794529811
"29","D",1,2019-02-05 01:16:00,2019-02-05 01:15:43,2019-02-05 01:16:05,2019-02-05 01:16:11,23796.8415460047,30881.8433112116
"30","D",3,2019-02-05 01:16:14,2019-02-05 01:16:07,2019-02-05 01:16:27,2019-02-05 01:16:23,9862.97777900587,29090.5258052563
"31","D",1,2019-02-05 01:16:22,2019-02-05 01:16:08,2019-02-05 01:16:28,2019-02-05 01:16:23,19700.8646855578,27710.5682639229
"32","D",3,2019-02-05 01:32:23,2019-02-05 01:32:09,2019-02-05 01:32:14,2019-02-05 01:32:14,20199.8552061947,7182.48087107645
"33","D",2,2019-02-05 01:57:19,2019-02-05 01:57:07,2019-02-05 01:57:32,2019-02-05 01:57:34,16198.1540056162,35021.8347943523
"34","D",1,2019-02-05 01:57:25,2019-02-05 01:57:06,2019-02-05 01:57:30,2019-02-05 01:57:34,27388.0751070288,35079.3300550229
"35","D",2,2019-02-05 02:15:27,2019-02-05 02:15:13,2019-02-05 02:15:28,2019-02-05 02:15:34,20075.0520948038,21086.5801053096
"36","D",3,2019-02-05 04:11:21,2019-02-05 04:11:12,2019-02-05 04:11:37,2019-02-05 04:11:31,12031.061652238,35361.3600717937
"37","D",2,2019-02-05 04:13:51,2019-02-05 04:13:37,2019-02-05 04:13:59,2019-02-05 04:14:03,20490.2354017453,32051.0289793862
"38","D",2,2019-02-05 04:40:50,2019-02-05 04:40:29,2019-02-05 04:40:38,2019-02-05 04:40:33,30406.1916135158,13308.2057877355
"39","D",3,2019-02-05 04:53:56,2019-02-05 04:53:41,2019-02-05 04:53:51,2019-02-05 04:53:57,22570.1998022249,14600.333231356
"40","D",3,2019-02-05 05:23:21,2019-02-05 05:23:14,2019-02-05 05:23:36,2019-02-05 05:23:29,8852.5791963522,31708.8788213773
"41","D",3,2019-02-05 05:23:29,2019-02-05 05:23:17,2019-02-05 05:23:25,2019-02-05 05:23:29,17616.566509779,11790.027050237
"42","D",2,2019-02-05 05:23:31,2019-02-05 05:23:13,2019-02-05 05:23:23,2019-02-05 05:23:29,26227.0406896538,14911.4286037284
"43","D",2,2019-02-05 09:13:34,2019-02-05 09:13:32,2019-02-05 09:13:54,2019-02-05 09:14:01,3156.19230676792,31020.8208226532
"44","D",3,2019-02-05 09:13:54,2019-02-05 09:13:47,2019-02-05 09:14:06,2019-02-05 09:14:01,10602.8291804605,27230.3889150281
"45","Antarctic",2,2019-02-06 09:09:19,2019-02-06 09:09:10,2019-02-06 09:09:39,2019-02-06 09:09:30,13199.2878444841,41217.3190231732
"46","D",1,2019-02-06 09:11:04,2019-02-06 09:10:51,2019-02-06 09:11:22,2019-02-06 09:11:20,18451.7002595609,43983.0491337414
"47","D",1,2019-02-06 10:11:40,2019-02-06 10:11:34,2019-02-06 10:11:58,2019-02-06 10:12:02,9660.68070380767,34704.9511573175
"48","D",3,2019-02-08 10:53:47,2019-02-08 10:53:27,2019-02-08 10:53:39,2019-02-08 10:53:30,28207.1661986739,16268.0946993249
"49","D",3,2019-02-08 13:42:59,2019-02-08 13:42:39,2019-02-08 13:42:45,2019-02-08 13:42:44,27920.0527487225,7503.49607319119
