Call,Channel,SBtime,SB_whaletime,SB_harptime,match_harptime,SB_whale_Dist_m,harp_whale_Dist_m
Antarctic,1,2019-02-03T04:05:32Z,2019-02-03T04:05:20Z,2019-02-03T04:05:25Z,2019-02-03T04:05:32Z,18531.286313746772,8033.391383434261
D,1,2019-02-03T04:05:54Z,2019-02-03T04:05:45Z,2019-02-03T04:05:53Z,2019-02-03T04:05:53Z,12846.87313882613,11404.380086504561
Antarctic,1,2019-02-03T04:07:06Z,2019-02-03T04:06:55Z,2019-02-03T04:07:01Z,2019-02-03T04:07:05Z,15136.89070238899,8491.995741411733
D,1,2019-02-03T04:08:55Z,2019-02-03T04:08:44Z,2019-02-03T04:08:51Z,2019-02-03T04:08:55Z,17231.336577985883,11227.108646140396
Antarctic,1,2019-02-03T04:08:19Z,2019-02-03T04:08:11Z,2019-02-03T04:08:19Z,2019-02-03T04:08:19Z,11586.381704565983,10650.974199478725
Antarctic,1,2019-02-03T04:09:37Z,2019-02-03T04:09:24Z,2019-02-03T04:09:31Z,2019-02-03T04:09:35Z,18386.02408178137,9903.974535903373
Antarctic,1,2019-02-03T04:10:34Z,2019-02-03T04:10:26Z,2019-02-03T04:10:33Z,2019-02-03T04:10:33Z,11697.938244028963,10242.439633846185
D,1,2019-02-03T04:11:03Z,2019-02-03T04:10:53Z,2019-02-03T04:10:59Z,2019-02-03T04:11:04Z,14713.798953206704,9097.603923150775
Antarctic,1,2019-02-03T04:25:45Z,2019-02-03T04:25:23Z,2019-02-03T04:25:49Z,2019-02-03T04:25:51Z,31513.94184799429,37701.47093828265
Antarctic,1,2019-02-03T04:28:29Z,2019-02-03T04:28:19Z,2019-02-03T04:28:25Z,2019-02-03T04:28:31Z,14363.49580234033,8241.463824866238
Antarctic,3,2019-02-03T04:29:47Z,2019-02-03T04:29:31Z,2019-02-03T04:29:39Z,2019-02-03T04:29:42Z,23873.14890948134,11848.153276190636
Antarctic,3,2019-02-03T04:54:14Z,2019-02-03T04:54:00Z,2019-02-03T04:54:21Z,2019-02-03T04:54:19Z,19061.258677335918,29435.216279070373
Antarctic,3,2019-02-03T05:32:09Z,2019-02-03T05:31:56Z,2019-02-03T05:32:00Z,2019-02-03T05:32:00Z,18101.571638910515,5327.510732906274
Antarctic,1,2019-02-03T05:31:55Z,2019-02-03T05:31:47Z,2019-02-03T05:32:03Z,2019-02-03T05:32:00Z,10876.135887400986,22790.225887260818
Antarctic,3,2019-02-03T05:33:27Z,2019-02-03T05:33:14Z,2019-02-03T05:33:17Z,2019-02-03T05:33:10Z,18681.11673948953,3853.02720495803
Antarctic,2,2019-02-03T05:33:31Z,2019-02-03T05:33:15Z,2019-02-03T05:33:19Z,2019-02-03T05:33:10Z,24221.186295262098,6049.677970015315
Antarctic,1,2019-02-03T05:42:40Z,2019-02-03T05:42:30Z,2019-02-03T05:42:34Z,2019-02-03T05:42:42Z,14625.163527715044,5446.790585405135
Antarctic,2,2019-02-03T05:45:32Z,2019-02-03T05:45:27Z,2019-02-03T05:45:46Z,2019-02-03T05:45:43Z,7138.7957610030935,26618.41461110937
