"","Channel","Latitude","Longitude","BuoyID","DateWithStartTime","DateWithEndTime","RecordingDuration"
"1",0,-65.79,144.83,92,2019-02-03 02:33:14,2019-02-03 06:49:47,04:16:33
"2",2,-65.91,144.71,93,2019-02-03 03:36:39,2019-02-03 06:12:41,02:36:02
"3",1,-65.87,144.93,95,2019-02-03 04:44:02,2019-02-03 06:42:57,01:58:55
"4",0,-65.76,144.55,96,2019-02-03 06:12:41,2019-02-03 11:44:59,05:32:17
"5",1,-65.63,144.42,97,2019-02-03 07:18:10,2019-02-03 11:45:02,04:26:52
"6",1,-65.66,144.63,98,2019-02-03 08:11:17,2019-02-03 10:46:09,02:34:52
"7",0,-65.8,145,100,2019-02-04 02:30:38,2019-02-04 03:11:50,00:41:12
"8",2,-65.79,144.78,99,2019-02-04 01:15:03,2019-02-04 04:15:23,03:00:20
"9",0,-65.81,145.03,101,2019-02-04 03:16:57,2019-02-04 05:00:27,01:43:30
"10",1,-65.82,144.88,102,2019-02-04 03:58:24,2019-02-04 05:01:21,01:02:57
"11",2,-65.81,144.57,103,2019-02-04 05:01:21,2019-02-04 08:04:31,03:03:10
"12",1,-65.77,144.32,104,2019-02-04 09:03:43,2019-02-04 13:09:52,04:06:09
"13",1,-65.8,143.98,105,2019-02-04 10:27:14,2019-02-04 15:24:41,04:57:27
"14",2,-65.84,144.4,107,2019-02-04 15:28:51,2019-02-04 17:30:18,02:01:27
"15",1,-65.76,144.22,108,2019-02-04 16:25:47,2019-02-04 22:24:19,05:58:33
"16",2,-65.85,144.2,109,2019-02-04 17:30:18,2019-02-04 22:24:44,04:54:26
"17",1,-65.88,144.61,110,2019-02-04 22:28:34,2019-02-05 03:30:53,05:02:19
"18",2,-65.91,145,111,2019-02-05 00:03:58,2019-02-05 06:03:56,05:59:57
"19",1,-65.81,144.86,112,2019-02-05 01:45:00,2019-02-05 03:37:29,01:52:29
"20",1,-65.83,145.33,113,2019-02-05 03:49:49,2019-02-05 05:39:10,01:49:21
"21",2,-65.8,144.08,115,2019-02-05 07:26:05,2019-02-05 13:29:11,06:03:06
"22",1,-65.78,143.83,116,2019-02-05 08:26:24,2019-02-05 13:36:28,05:10:04
"23",2,-65.61,144.57,118,2019-02-05 20:57:41,2019-02-05 23:06:17,02:08:36
"24",1,-65.55,144.52,119,2019-02-05 21:35:20,2019-02-05 23:06:14,01:30:54
"25",0,-65.78,144.37,120,2019-02-05 23:19:31,2019-02-06 02:21:41,03:02:10
"26",1,-65.91,144.26,121,2019-02-06 00:32:29,2019-02-06 02:08:56,01:36:27
"27",2,-65.82,144.21,122,2019-02-06 01:13:22,2019-02-06 07:12:25,05:59:03
"28",0,-65.57,144.01,123,2019-02-06 04:47:09,2019-02-06 07:12:25,02:25:16
"29",1,-65.91,143.76,125,2019-02-06 08:43:45,2019-02-06 13:48:31,05:04:46
"30",0,-65.79,143.86,124,2019-02-06 07:18:27,2019-02-06 13:21:48,06:03:21
"31",2,-65.08,145.56,134,2019-02-07 17:08:54,2019-02-07 22:44:10,05:35:16
"32",0,-65.92,144.96,137,2019-02-08 08:22:55,2019-02-08 14:27:37,06:04:42
"33",2,-66.09,144.88,138,2019-02-08 09:54:59,2019-02-08 13:47:53,03:52:55
"34",2,-65.85,147.08,141,2019-02-08 20:33:50,2019-02-09 02:28:46,05:54:56
"35",0,-65.84,146.62,140,2019-02-08 18:09:55,2019-02-08 23:41:02,05:31:07
"36",1,-65.9,146.89,142,2019-02-08 23:20:58,2019-02-09 05:06:48,05:45:50
"37",0,-65.97,146.87,143,2019-02-09 02:30:23,2019-02-09 07:48:51,05:18:28
"38",1,-65.97,147.08,144,2019-02-09 04:25:23,2019-02-09 08:15:22,03:49:59
